packet_count,byte_count,duration_sec,byte_rate,label
138,14392,26,553.5384615384615,0
58,3480,26,133.84615384615384,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
140,14532,26,558.9230769230769,0
30,1800,28,64.28571428571429,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,26,5.384615384615385,0
3,238,26,9.153846153846153,0
2,140,26,5.384615384615385,0
135,14172,28,506.14285714285717,0
64,3840,28,137.14285714285714,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,26,9.153846153846153,0
2,140,26,5.384615384615385,0
140,14532,28,519.0,0
32,1920,28,68.57142857142857,0
541646,35748736,27,1324027.2592592593,0
843238,37076218912,27,1373193293.0370371,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
3,238,27,8.814814814814815,0
2,140,27,5.185185185185185,0
133,14018,28,500.64285714285717,0
